word,color,stim_condition,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instr.started,text_2.started,text_2.stopped,instr.stopped,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,thanks.started,text_3.started,text_3.stopped,thanks.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart
,,,,,,,,,,,,,,,,,0.0028357,0.0058599,1.0098814,0.9894142,,,,,,,,,,,,,,,32818,1,2025-08-26_16h39.38.991,strooptaskexp,2024.2.4,144.0523658,2025-08-26 16h39.47.218622 +0530
RED,red,C,r,0,0,0,r,1,1.000241,None,0,0,0,0,1.0098814,,,,,,1.0062978,1.0098814,1.4884155,1.4884155,1.5022381,2.4938862,r,1,1.000241,None,,,,,32818,1,2025-08-26_16h39.38.991,strooptaskexp,2024.2.4,144.0523658,2025-08-26 16h39.47.218622 +0530
BLUE,blue,C,b,1,1,0,b,1,0.8613512,None,0,1,1,2,2.5003423,,,,,,2.4972841,2.5003423,2.9881582,2.9881582,2.9951231,3.8515417,b,1,0.8613512,None,,,,,32818,1,2025-08-26_16h39.38.991,strooptaskexp,2024.2.4,144.0523658,2025-08-26 16h39.47.218622 +0530
RED,blue,I,b,2,2,0,b,1,1.0169364,None,0,2,2,1,3.8582923,,,,,,3.8546718,3.8582923,4.3421385,4.3421385,4.3491274,5.3639576,b,1,1.0169364,None,,,,,32818,1,2025-08-26_16h39.38.991,strooptaskexp,2024.2.4,144.0523658,2025-08-26 16h39.47.218622 +0530
BLUE,red,I,r,3,3,0,r,1,1.012661,None,0,3,3,3,5.3697,,,,,,5.3665223,5.3697,5.8558808,5.8558808,5.8626098,6.8715682,r,1,1.012661,None,,,,,32818,1,2025-08-26_16h39.38.991,strooptaskexp,2024.2.4,144.0523658,2025-08-26 16h39.47.218622 +0530
BLUE,blue,C,b,4,0,1,b,1,0.675442,None,1,0,4,2,6.8764051,,,,,,6.8721328,6.8764051,7.3625444,7.3625444,7.3693704,8.0444816,b,1,0.675442,None,,,,,32818,1,2025-08-26_16h39.38.991,strooptaskexp,2024.2.4,144.0523658,2025-08-26 16h39.47.218622 +0530
RED,red,C,r,5,1,1,r,1,0.8904209,None,1,1,5,0,8.0504787,,,,,,8.0471043,8.0504787,8.5357836,8.5357836,8.5427671,9.4329208,r,1,0.8904209,None,,,,,32818,1,2025-08-26_16h39.38.991,strooptaskexp,2024.2.4,144.0523658,2025-08-26 16h39.47.218622 +0530
RED,blue,I,b,6,2,1,b,1,0.7143961,None,1,2,6,1,9.43852,,,,,,9.4334901,9.43852,9.9245383,9.9245383,9.9315063,10.6416759,b,1,0.7143961,None,,,,,32818,1,2025-08-26_16h39.38.991,strooptaskexp,2024.2.4,144.0523658,2025-08-26 16h39.47.218622 +0530
BLUE,red,I,r,7,3,1,r,1,0.8162104,None,1,3,7,3,10.6479679,,,,,,10.6444041,10.6479679,11.1327829,11.1327829,11.1396593,11.9535709,r,1,0.8162104,None,,,,,32818,1,2025-08-26_16h39.38.991,strooptaskexp,2024.2.4,144.0523658,2025-08-26 16h39.47.218622 +0530
BLUE,blue,C,b,8,0,2,b,1,1.0882269,None,2,0,8,2,11.9588385,,,,,,11.9542529,11.9588385,12.4449954,12.4449954,12.4519293,13.5358249,b,1,1.0882269,None,,,,,32818,1,2025-08-26_16h39.38.991,strooptaskexp,2024.2.4,144.0523658,2025-08-26 16h39.47.218622 +0530
