stairs.thisTrialN,stairs.stepSize,stairs.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stairs.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,2,10.0,0.007671999977901578,,0.004158499883487821,0.007671999977901578,0.5724985999986529,0.5724985999986529,0.5769799000117928,0.8684622999280691,2.7098554000258446,right,10.0,1,1,2.106967599829659,369261,001,2025-08-28_10h22.21.260,staircase,2024.2.4,143.84949890641897,2025-08-28 10h22.29.503682 +0530,
1,2,8.0,2.7144317999482155,,2.7100913000758737,2.7144317999482155,3.2016189000569284,3.2016189000569284,3.2083771999459714,3.4928669999353588,3.9253326000180095,left,-8.0,1,1,0.7218470999505371,369261,001,2025-08-28_10h22.21.260,staircase,2024.2.4,143.84949890641897,2025-08-28 10h22.29.503682 +0530,
2,2,6.0,3.930400100070983,,3.9255492999218404,3.930400100070983,4.416652499930933,4.416652499930933,4.423678799998015,4.707867000019178,5.285804599989206,right,6.0,1,1,0.8621141000185162,369261,001,2025-08-28_10h22.21.260,staircase,2024.2.4,143.84949890641897,2025-08-28 10h22.29.503682 +0530,
3,2,4.0,5.291331199929118,,5.286014900077134,5.291331199929118,5.777567199897021,5.777567199897021,5.784321799874306,6.0689439999405295,7.0773179000243545,right,4.0,1,1,1.2921692999079823,369261,001,2025-08-28_10h22.21.260,staircase,2024.2.4,143.84949890641897,2025-08-28 10h22.29.503682 +0530,
4,2,2.0,7.0825505999382585,,7.077551400056109,7.0825505999382585,7.569082499947399,7.569082499947399,7.575995299965143,7.860340300016105,8.480017499998212,left,-2.0,1,1,0.9059024001471698,369261,001,2025-08-28_10h22.21.260,staircase,2024.2.4,143.84949890641897,2025-08-28 10h22.29.503682 +0530,
5,2,1.0,8.485283900052309,,8.480247400002554,8.485283900052309,8.971659299917519,8.971659299917519,8.978522700024769,9.26290259999223,10.146681899903342,right,1.0,1,1,1.172779600135982,369261,001,2025-08-28_10h22.21.260,staircase,2024.2.4,143.84949890641897,2025-08-28 10h22.29.503682 +0530,
6,2,1.0,10.151761899935082,,10.146894499892369,10.151761899935082,10.63802170008421,10.63802170008421,10.644752299878746,10.929328799946234,11.89610580005683,right,1.0,1,1,1.2524377000518143,369261,001,2025-08-28_10h22.21.260,staircase,2024.2.4,143.84949890641897,2025-08-28 10h22.29.503682 +0530,
7,2,1.0,11.901458899956197,,11.89632759988308,11.901458899956197,12.38769349991344,12.38769349991344,12.394639499951154,12.679173700045794,13.541238300036639,right,1.0,1,1,1.1498608998954296,369261,001,2025-08-28_10h22.21.260,staircase,2024.2.4,143.84949890641897,2025-08-28 10h22.29.503682 +0530,
8,2,1.0,13.546967000002041,,13.541451399913058,13.546967000002041,14.03342380002141,14.03342380002141,14.040232799947262,14.324810300022364,14.965882499935105,right,1.0,1,1,0.9281510000582784,369261,001,2025-08-28_10h22.21.260,staircase,2024.2.4,143.84949890641897,2025-08-28 10h22.29.503682 +0530,
9,2,1.0,14.972092400072142,,14.966121400007978,14.972092400072142,15.456591200083494,15.456591200083494,15.463536399882287,15.747983699897304,16.291338100098073,left,-1.0,1,1,0.8328835000284016,369261,001,2025-08-28_10h22.21.260,staircase,2024.2.4,143.84949890641897,2025-08-28 10h22.29.503682 +0530,
10,2,1.0,16.296646900009364,,16.291619200026616,16.296646900009364,16.78291999991052,16.78291999991052,16.789746100082994,17.074303400004283,17.728271800093353,right,1.0,1,1,0.9399382998235524,369261,001,2025-08-28_10h22.21.260,staircase,2024.2.4,143.84949890641897,2025-08-28 10h22.29.503682 +0530,
11,2,1.0,17.733795600011945,,17.728503899881616,17.733795600011945,18.22015849989839,18.22015849989839,18.227079800097272,18.511580399936065,19.20690119988285,left,-1.0,1,1,0.9796291999518871,369261,001,2025-08-28_10h22.21.260,staircase,2024.2.4,143.84949890641897,2025-08-28 10h22.29.503682 +0530,
