pos,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,Fixation.started,Line_1.started,Line_2.started,Line_3.started,Line_4.started,Fixation.stopped,Probe.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trials_2.key_resp.keys,trials_2.key_resp.corr,trials_2.key_resp.rt,trials_2.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
-50,x,0,0,0,x,1,0.48138570017181337,None,0,0,0,0,,,,,0.05376749997958541,,0.04153200006112456,0.05376749997958541,0.9983729000668973,0.9983729000668973,0.9983729000668973,0.9983729000668973,1.0540175000205636,1.9975245001260191,1.9975245001260191,4.7320644001010805,x,1,0.48138570017181337,None,,,,,04,001,2025-10-02_11h26.52.613,Motor Sequential Learning,,2025.1.1,72.94887807643727,2025-10-02 11h26.58.698852 +0530,
150,v,1,1,0,v,1,0.45514649990946054,None,0,1,1,1,,,,,4.741286500124261,,4.732260000193492,4.741286500124261,5.728682100074366,5.728682100074366,5.728682100074366,5.728682100074366,5.741866399999708,6.734928600024432,6.734928600024432,7.193065200001001,v,1,0.45514649990946054,None,,,,,04,001,2025-10-02_11h26.52.613,Motor Sequential Learning,,2025.1.1,72.94887807643727,2025-10-02 11h26.58.698852 +0530,
50,c,2,2,0,c,1,0.4776305998675525,None,0,2,2,2,,,,,7.201243800111115,,7.193380000069737,7.201243800111115,8.186451200162992,8.186451200162992,8.186451200162992,8.186451200162992,8.193384600104764,9.186799300136045,9.186799300136045,9.66713250009343,c,1,0.4776305998675525,None,,,,,04,001,2025-10-02_11h26.52.613,Motor Sequential Learning,,2025.1.1,72.94887807643727,2025-10-02 11h26.58.698852 +0530,
-150,z,3,3,0,z,1,0.489411500049755,None,0,3,3,3,,,,,9.677992700133473,,9.667497800197452,9.677992700133473,10.664487400092185,10.664487400092185,10.664487400092185,10.664487400092185,10.67297220020555,11.664964500116184,11.664964500116184,12.15928200003691,z,1,0.489411500049755,None,,,,,04,001,2025-10-02_11h26.52.613,Motor Sequential Learning,,2025.1.1,72.94887807643727,2025-10-02 11h26.58.698852 +0530,
-50,x,4,0,1,x,1,0.48461719998158514,None,1,0,4,0,,,,,12.165480600204319,,12.159562700195238,12.165480600204319,13.158251200104132,13.158251200104132,13.158251200104132,13.158251200104132,13.166494300123304,14.157711200183257,14.157711200183257,14.647377700079232,x,1,0.48461719998158514,None,,,,,04,001,2025-10-02_11h26.52.613,Motor Sequential Learning,,2025.1.1,72.94887807643727,2025-10-02 11h26.58.698852 +0530,
150,v,5,1,1,v,1,0.5926332999952137,None,1,1,5,1,,,,,14.65771870012395,,14.647730100201443,14.65771870012395,15.653912900015712,15.653912900015712,15.653912900015712,15.653912900015712,15.664995200000703,16.638300599996,16.638300599996,17.234857600182295,v,1,0.5926332999952137,None,,,,,04,001,2025-10-02_11h26.52.613,Motor Sequential Learning,,2025.1.1,72.94887807643727,2025-10-02 11h26.58.698852 +0530,
50,c,6,2,1,c,1,0.37498540012165904,None,1,2,6,2,,,,,17.242379500065,,17.235062800114974,17.242379500065,18.23454760015011,18.23454760015011,18.23454760015011,18.23454760015011,18.243303700117394,19.234387300210074,19.234387300210074,19.610431600129232,c,1,0.37498540012165904,None,,,,,04,001,2025-10-02_11h26.52.613,Motor Sequential Learning,,2025.1.1,72.94887807643727,2025-10-02 11h26.58.698852 +0530,
-150,z,7,3,1,z,1,0.36642470001243055,None,1,3,7,3,,,,,19.623235700186342,,19.610670400084928,19.623235700186342,20.610878400038928,20.610878400038928,20.610878400038928,20.610878400038928,20.62312770006247,21.610730700194836,21.610730700194836,21.985651000170037,z,1,0.36642470001243055,None,,,,,04,001,2025-10-02_11h26.52.613,Motor Sequential Learning,,2025.1.1,72.94887807643727,2025-10-02 11h26.58.698852 +0530,
-50,x,8,0,2,x,1,0.3316986998543143,None,2,0,8,0,,,,,21.998859900049865,,21.98619220010005,21.998859900049865,22.984534200048074,22.984534200048074,22.984534200048074,22.984534200048074,22.993159100180492,23.984268500003964,23.984268500003964,24.318843000102788,x,1,0.3316986998543143,None,,,,,04,001,2025-10-02_11h26.52.613,Motor Sequential Learning,,2025.1.1,72.94887807643727,2025-10-02 11h26.58.698852 +0530,
150,v,9,1,2,v,1,0.3875762999523431,None,2,1,9,1,,,,,24.33214360009879,,24.31933890003711,24.33214360009879,25.318553700111806,25.318553700111806,25.318553700111806,25.318553700111806,25.33254240010865,26.319788300199434,26.319788300199434,26.714161799987778,v,1,0.3875762999523431,None,,,,,04,001,2025-10-02_11h26.52.613,Motor Sequential Learning,,2025.1.1,72.94887807643727,2025-10-02 11h26.58.698852 +0530,
