pos,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,fixation.started,Line_1.started,Line_2.started,Line_3.started,Line_4.started,fixation.stopped,Probe.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trials_2.key_resp.keys,trials_2.key_resp.corr,trials_2.key_resp.rt,trials_2.key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
-50,x,0,0,0,x,1,0.5136124999262393,None,0,0,0,0,,,,,0.010194199858233333,,0.007166899973526597,0.010194199858233333,0.9945195000618696,0.9945195000618696,0.9945195000618696,0.9945195000618696,1.0005846000276506,1.99359399988316,1.99359399988316,2.5404658999759704,x,1,0.5136124999262393,None,,,,,704236,001,2025-10-04_08h12.23.123,Motor Learning,2024.2.4,143.41667235551566,2025-10-04 08h12.32.724477 +0530,
150,v,1,1,0,v,1,0.5406721001490951,None,0,1,1,1,,,,,2.5445042999926955,,2.540751300053671,2.5445042999926955,3.535066599957645,3.535066599957645,3.535066599957645,3.535066599957645,3.535066599957645,4.5348232998512685,4.5348232998512685,5.078746999846771,v,1,0.5406721001490951,None,,,,,704236,001,2025-10-04_08h12.23.123,Motor Learning,2024.2.4,143.41667235551566,2025-10-04 08h12.32.724477 +0530,
50,c,2,2,0,c,1,0.34785709995776415,None,0,2,2,2,,,,,5.08354949997738,,5.079131699865684,5.08354949997738,6.069466999964789,6.069466999964789,6.069466999964789,6.069466999964789,6.076745899859816,7.069593399995938,7.069593399995938,7.424389400053769,c,1,0.34785709995776415,None,,,,,704236,001,2025-10-04_08h12.23.123,Motor Learning,2024.2.4,143.41667235551566,2025-10-04 08h12.32.724477 +0530,
-150,z,3,3,0,z,1,0.44541130005382,None,0,3,3,3,,,,,7.430312499869615,,7.424786499934271,7.430312499869615,8.416470899945125,8.416470899945125,8.416470899945125,8.416470899945125,8.423388099996373,9.416159000014886,9.416159000014886,9.868572399951518,z,1,0.44541130005382,None,,,,,704236,001,2025-10-04_08h12.23.123,Motor Learning,2024.2.4,143.41667235551566,2025-10-04 08h12.32.724477 +0530,
-50,x,4,0,1,x,1,0.6573521001264453,None,1,0,4,0,,,,,9.87448180001229,,9.86875949986279,9.87448180001229,10.86042149993591,10.86042149993591,10.86042149993591,10.86042149993591,10.869442400056869,11.860042299842462,11.860042299842462,12.5202196999453,x,1,0.6573521001264453,None,,,,,704236,001,2025-10-04_08h12.23.123,Motor Learning,2024.2.4,143.41667235551566,2025-10-04 08h12.32.724477 +0530,
150,v,5,1,1,v,1,0.71524089993909,None,1,1,5,1,,,,,12.526619700016454,,12.52048259996809,12.526619700016454,13.512997299898416,13.512997299898416,13.512997299898416,13.512997299898416,13.519822099944577,14.51291639986448,14.51291639986448,15.230370299890637,v,1,0.71524089993909,None,,,,,704236,001,2025-10-04_08h12.23.123,Motor Learning,2024.2.4,143.41667235551566,2025-10-04 08h12.32.724477 +0530,
50,c,6,2,1,c,1,0.47398629994131625,None,1,2,6,2,,,,,15.234885199926794,,15.23079780000262,15.234885199926794,16.220924299908802,16.220924299908802,16.220924299908802,16.220924299908802,16.227801099885255,17.220389399910346,17.220389399910346,17.700911599909887,c,1,0.47398629994131625,None,,,,,704236,001,2025-10-04_08h12.23.123,Motor Learning,2024.2.4,143.41667235551566,2025-10-04 08h12.32.724477 +0530,
-150,z,7,3,1,z,1,0.45246870000846684,None,1,3,7,3,,,,,17.706601500045508,,17.70132949994877,17.706601500045508,18.692852600011975,18.692852600011975,18.692852600011975,18.692852600011975,18.69953510002233,19.69255719985813,19.69255719985813,20.151482099900022,z,1,0.45246870000846684,None,,,,,704236,001,2025-10-04_08h12.23.123,Motor Learning,2024.2.4,143.41667235551566,2025-10-04 08h12.32.724477 +0530,
-50,x,8,0,2,x,1,0.6573296000715345,None,2,0,8,0,,,,,20.15736910002306,,20.15183850005269,20.15736910002306,21.14386079995893,21.14386079995893,21.14386079995893,21.14386079995893,21.15069040004164,22.143900899915025,22.143900899915025,22.804653599858284,x,1,0.6573296000715345,None,,,,,704236,001,2025-10-04_08h12.23.123,Motor Learning,2024.2.4,143.41667235551566,2025-10-04 08h12.32.724477 +0530,
150,v,9,1,2,v,1,0.30074470001272857,None,2,1,9,1,,,,,22.809898799983785,,22.804999500047415,22.809898799983785,23.796198799973354,23.796198799973354,23.796198799973354,23.796198799973354,23.803037399891764,24.795901499921456,24.795901499921456,25.102792399935424,v,1,0.30074470001272857,None,,,,,704236,001,2025-10-04_08h12.23.123,Motor Learning,2024.2.4,143.41667235551566,2025-10-04 08h12.32.724477 +0530,
50,c,10,2,2,c,1,0.41120530012995005,None,2,2,10,2,,,,,25.108370499918237,,25.10308859986253,25.108370499918237,26.094342099968344,26.094342099968344,26.094342099968344,26.094342099968344,26.101310400059447,27.094153499929234,27.094153499929234,27.511988800019026,c,1,0.41120530012995005,None,,,,,704236,001,2025-10-04_08h12.23.123,Motor Learning,2024.2.4,143.41667235551566,2025-10-04 08h12.32.724477 +0530,
