key_resp.keys,key_resp.corr,key_resp.rt,tilt,,,hit,miss,FA,corr rej
down,1,1.4081507,3,,,0,0,0,1
up,1,1.1225945,0,,,1,0,0,0
up,1,0.798536,0,,,1,0,0,0
down,0,1.1412833,0,,,0,0,1,0
down,1,0.7717755,2,,,0,0,0,1
up,1,1.0625298,0,,,1,0,0,0
up,1,0.9165593,0,,,1,0,0,0
down,1,0.9194016,4,,,0,0,0,1
down,0,1.1864839,0,,,0,0,1,0
down,1,0.9287217,2,,,0,0,0,1
down,0,1.0164313,0,,,0,0,1,0
down,0,1.1982586,0,,,0,0,1,0
down,0,1.428604,-2,,,0,0,1,0
up,1,0.9191257,0,,,1,0,0,0
up,1,0.5819576,0,,,1,0,0,0
down,0,0.8108243,0,,,0,0,1,0
up,1,0.6164645,0,,,1,0,0,0
up,1,0.5673732,0,,,1,0,0,0
up,1,0.9261883,0,,,1,0,0,0
down,1,0.7219655,3,,,0,0,0,1
down,1,0.8898772,-2,,,0,0,0,1
up,1,0.8379377,0,,,1,0,0,0
down,0,0.642182,-3,,,0,0,1,0
down,1,0.8708585,1,,,0,0,0,1
down,0,0.9389278,0,,,0,0,1,0
down,0,1.0494421,0,,,0,0,1,0
up,1,0.7755905,0,,,1,0,0,0
up,1,0.6524928,0,,,1,0,0,0
down,0,0.8068693,0,,,0,0,1,0
up,1,0.8180938,0,,,1,0,0,0
up,1,0.885079,0,,,1,0,0,0
up,1,0.8382205,0,,,1,0,0,0
down,1,0.8127352,2,,,0,0,0,1
up,1,0.7599841,0,,,1,0,0,0
up,0,1.0434733,2,,,0,1,0,0
up,1,0.749554,0,,,1,0,0,0
up,1,0.5609932,0,,,1,0,0,0
up,1,0.7332487,0,,,1,0,0,0
up,1,0.6433244,0,,,1,0,0,0
up,1,0.7167402,0,,,1,0,0,0
up,0,0.74973,1,,,0,1,0,0
down,1,0.8477889,3,,,0,0,0,1
up,1,0.71736,0,,,1,0,0,0
down,0,0.7718963,-5,,,0,0,1,0
down,0,0.7975594,-4,,,0,0,1,0
up,1,0.8809613,0,,,1,0,0,0
down,1,1.0357552,4,,,0,0,0,1
up,1,0.7016279,0,,,1,0,0,0
up,1,0.5892875,0,,,1,0,0,0
up,1,0.7380951,0,,,1,0,0,0
up,1,0.8308276,0,,,1,0,0,0
up,1,0.5779036,0,,,1,0,0,0
down,1,0.7089569,4,,,0,0,0,1
down,1,0.7540785,3,,,0,0,0,1
up,1,0.5958413,0,,,1,0,0,0
up,1,0.6828126,0,,,1,0,0,0
up,0,0.5668419,1,,,0,1,0,0
up,0,0.4777666,1,,,0,1,0,0
down,1,0.6597137,4,,,0,0,0,1
down,1,0.6496334,-2,,,0,0,0,1
down,1,0.5957062,-5,,,0,0,0,1
up,1,0.5595014,0,,,1,0,0,0
up,1,0.5105647,0,,,1,0,0,0
up,1,0.4877838,0,,,1,0,0,0
down,1,0.8722353,3,,,0,0,0,1
up,1,0.3167688,0,,,1,0,0,0
up,1,0.6018551,-2,,,1,0,0,0
up,1,0.6907444,0,,,1,0,0,0
up,1,0.5760847,0,,,1,0,0,0
up,1,0.5935181,0,,,1,0,0,0
up,0,0.5285302,1,,,0,1,0,0
up,1,0.4514927,0,,,1,0,0,0
up,1,0.9672987,0,,,1,0,0,0
up,1,0.6474691,0,,,1,0,0,0
up,1,0.679911,0,,,1,0,0,0
up,1,0.5693576,0,,,1,0,0,0
down,1,0.6483059,4,,,0,0,0,1
down,1,0.653051,3,,,0,0,0,1
up,1,0.4531722,0,,,1,0,0,0
up,1,0.6374813,0,,,1,0,0,0
down,0,0.6257898,-5,,,0,0,1,0
down,1,0.7620127,1,,,0,0,0,1
down,1,0.7212814,-2,,,0,0,0,1
up,0,0.9493515,1,,,0,1,0,0
up,1,0.477548,0,,,1,0,0,0
down,0,0.5893346,-5,,,0,0,1,0
up,1,0.9563872,0,,,1,0,0,0
up,1,0.9592856,0,,,1,0,0,0
up,1,0.65604,0,,,1,0,0,0
up,1,0.5709773,0,,,1,0,0,0
down,1,0.5385835,3,,,0,0,0,1
down,1,1.0950534,1,,,0,0,0,1
up,1,0.4419638,0,,,1,0,0,0
down,0,0.7030482,-3,,,0,0,1,0
up,1,0.494137,0,,,1,0,0,0
down,0,0.7286066,-4,,,0,0,1,0
down,1,0.6495941,2,,,0,0,0,1
down,1,0.7139303,3,,,0,0,0,1
up,1,0.3690545,0,,,1,0,0,0
up,1,0.5222464,-4,,,1,0,0,0
up,1,1.0571638,-4,,,1,0,0,0
down,1,0.5981877,4,,,0,0,0,1
down,1,1.0388698,-2,,,0,0,0,1
up,1,0.4039862,0,,,1,0,0,0
up,1,0.5205762,0,,,1,0,0,0
down,1,0.6752311,2,,,0,0,0,1
up,1,0.4532647,0,,,1,0,0,0
up,1,0.6360168,0,,,1,0,0,0
up,1,0.7527012,0,,,1,0,0,0
up,1,0.7654462,-2,,,1,0,0,0
down,0,0.7289929,0,,,0,0,1,0
up,1,0.6393669,0,,,1,0,0,0
up,1,0.4774968,0,,,1,0,0,0
up,1,0.5443886,0,,,1,0,0,0
down,1,0.5806676,4,,,0,0,0,1
down,1,0.6941636,-5,,,0,0,0,1
down,1,0.5660584,-5,,,0,0,0,1
up,1,0.8205338,0,,,1,0,0,0
up,1,0.509648,0,,,1,0,0,0
up,1,0.5749014,0,,,1,0,0,0
down,1,0.7465191,2,,,0,0,0,1
up,1,0.5399609,0,,,1,0,0,0
up,1,0.6916755,-3,,,1,0,0,0
down,0,0.7886251,-4,,,0,0,1,0
up,1,0.6153748,0,,,1,0,0,0
up,1,0.5549428,0,,,1,0,0,0
down,1,1.1964818,4,,,0,0,0,1
up,0,0.398807,2,,,0,1,0,0
up,1,0.4152214,0,,,1,0,0,0
up,1,0.561249,0,,,1,0,0,0
up,1,0.5325095,0,,,1,0,0,0
up,1,0.5633956,0,,,1,0,0,0
down,0,0.6578129,-5,,,0,0,1,0
up,1,0.4769017,0,,,1,0,0,0
up,1,0.4982747,0,,,1,0,0,0
up,1,0.4920446,0,,,1,0,0,0
up,1,0.5381138,0,,,1,0,0,0
up,1,0.4707411,0,,,1,0,0,0
down,0,0.6538284,-3,,,0,0,1,0
down,0,0.6088107,-4,,,0,0,1,0
up,1,0.439077,0,,,1,0,0,0
up,0,0.6523385,2,,,0,1,0,0
up,0,0.6059197,3,,,0,1,0,0
up,1,0.5031712,0,,,1,0,0,0
down,1,0.6579614,3,,,0,0,0,1
up,1,0.3098324,0,,,1,0,0,0
up,1,0.4655122,0,,,1,0,0,0
