word,color,stim_condition,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instr.started,text_2.started,text_2.stopped,instr.stopped,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,thanks.started,text_3.started,text_3.stopped,thanks.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart
,,,,,,,,,,,,,,,,,0.0027765,0.0060599,1.0127272,0.9964377,,,,,,,,,,,,,,,242585,1,2025-08-26_16h45.32.098,strooptaskexp,2024.2.4,143.8830289,2025-08-26 16h45.39.410291 +0530
RED,red,C,r,0,0,0,r,1,1.2633605,None,0,0,0,0,1.0127272,,,,,,1.0093657,1.0127272,1.4951129,1.4951129,1.5020976,2.7649043,r,1,1.2633605,None,,,,,242585,1,2025-08-26_16h45.32.098,strooptaskexp,2024.2.4,143.8830289,2025-08-26 16h45.39.410291 +0530
BLUE,red,I,r,1,1,0,r,1,0.9982779,None,0,1,1,3,2.7742257,,,,,,2.7706281,2.7742257,3.2590623,3.2590623,3.265576,4.2603554,r,1,0.9982779,None,,,,,242585,1,2025-08-26_16h45.32.098,strooptaskexp,2024.2.4,143.8830289,2025-08-26 16h45.39.410291 +0530
BLUE,blue,C,b,2,2,0,b,1,0.8271777,None,0,2,2,2,4.2656339,,,,,,4.2610509,4.2656339,4.7524577,4.7524577,4.7585265,5.5856622,b,1,0.8271777,None,,,,,242585,1,2025-08-26_16h45.32.098,strooptaskexp,2024.2.4,143.8830289,2025-08-26 16h45.39.410291 +0530
RED,blue,I,b,3,3,0,b,1,0.8277036,None,0,3,3,1,5.5913668,,,,,,5.5878775,5.5913668,6.0777484,6.0777484,6.0847907,6.9127498,b,1,0.8277036,None,,,,,242585,1,2025-08-26_16h45.32.098,strooptaskexp,2024.2.4,143.8830289,2025-08-26 16h45.39.410291 +0530
RED,blue,I,b,4,0,1,b,1,0.8512598,None,1,0,4,1,6.9183265,,,,,,6.9132993,6.9183265,7.4040474,7.4040474,7.4109526,8.2599639,b,1,0.8512598,None,,,,,242585,1,2025-08-26_16h45.32.098,strooptaskexp,2024.2.4,143.8830289,2025-08-26 16h45.39.410291 +0530
BLUE,red,I,r,5,1,1,r,1,0.7667702,None,1,1,5,3,8.2664203,,,,,,8.2628915,8.2664203,8.7510431,8.7510431,8.7579971,9.5234533,r,1,0.7667702,None,,,,,242585,1,2025-08-26_16h45.32.098,strooptaskexp,2024.2.4,143.8830289,2025-08-26 16h45.39.410291 +0530
RED,red,C,r,6,2,1,r,1,0.8558223,None,1,2,6,0,9.5300628,,,,,,9.5265274,9.5300628,10.0148308,10.0148308,10.0216555,10.8776114,r,1,0.8558223,None,,,,,242585,1,2025-08-26_16h45.32.098,strooptaskexp,2024.2.4,143.8830289,2025-08-26 16h45.39.410291 +0530
BLUE,blue,C,b,7,3,1,b,1,1.0171708,None,1,3,7,2,10.8843034,,,,,,10.880895,10.8843034,11.368736,11.368736,11.3756721,12.3909992,b,1,1.0171708,None,,,,,242585,1,2025-08-26_16h45.32.098,strooptaskexp,2024.2.4,143.8830289,2025-08-26 16h45.39.410291 +0530
RED,red,C,r,8,0,2,r,1,1.0333551,None,2,0,8,0,12.3975098,,,,,,12.3941371,12.3975098,12.8824233,12.8824233,12.8892331,13.9183496,r,1,1.0333551,None,,,,,242585,1,2025-08-26_16h45.32.098,strooptaskexp,2024.2.4,143.8830289,2025-08-26 16h45.39.410291 +0530
