study_word,thisN,thisTrialN,thisRepN,Studyslider.response,Studyslider.rt,test_word,Reference,old_new,textbox.text,testmouse.x,testmouse.y,testmouse.leftButton,testmouse.midButton,testmouse.rightButton,testmouse.time,testmouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,StudyText.started,Studyslider.started,trial.stopped,trials.Studyslider.response,trials.Studyslider.rt,Test.started,TestText.started,textbox.started,submit_text.started,testmouse.started,Test.stopped,trials_2.textbox.text,trials_2.testmouse.x,trials_2.testmouse.y,trials_2.testmouse.leftButton,trials_2.testmouse.midButton,trials_2.testmouse.rightButton,trials_2.testmouse.time,trials_2.testmouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart
phone,0,0,0,1,2.0217191,,,,,,,,,,,,0,0,0,2,,,,,0.0291041,,0.0164469,0.0291041,0.0291041,2.0446479,1,2.0217191,,,,,,,,,,,,,,,7439,1,2025-10-22_21h45.26.549,Word Priming,2024.2.4,144.755927,2025-10-22 21h45.31.137995 +0530
Cruise,1,1,0,1,0.6089596,,,,,,,,,,,,0,1,1,11,,,,,2.0580264,,2.0473409,2.0580264,2.0580264,2.6630969,1,0.6089596,,,,,,,,,,,,,,,7439,1,2025-10-22_21h45.26.549,Word Priming,2024.2.4,144.755927,2025-10-22 21h45.31.137995 +0530
Chart,2,2,0,1,0.5806991,,,,,,,,,,,,0,2,2,6,,,,,2.6751697,,2.6657103,2.6751697,2.6751697,3.2526576,1,0.5806991,,,,,,,,,,,,,,,7439,1,2025-10-22_21h45.26.549,Word Priming,2024.2.4,144.755927,2025-10-22 21h45.31.137995 +0530
Keys ,3,3,0,1,0.5109732,,,,,,,,,,,,0,3,3,13,,,,,3.2652269,,3.2559768,3.2652269,3.2652269,3.7740065,1,0.5109732,,,,,,,,,,,,,,,7439,1,2025-10-22_21h45.26.549,Word Priming,2024.2.4,144.755927,2025-10-22 21h45.31.137995 +0530
Pastry,4,4,0,1,0.4965597,,,,,,,,,,,,0,4,4,9,,,,,3.7863845,,3.7766301,3.7863845,3.7863845,4.2804433,1,0.4965597,,,,,,,,,,,,,,,7439,1,2025-10-22_21h45.26.549,Word Priming,2024.2.4,144.755927,2025-10-22 21h45.31.137995 +0530
mouse,5,5,0,1,0.5124504,,,,,,,,,,,,0,5,5,8,,,,,4.2927423,,4.2819115,4.2927423,4.2927423,4.8009616,1,0.5124504,,,,,,,,,,,,,,,7439,1,2025-10-22_21h45.26.549,Word Priming,2024.2.4,144.755927,2025-10-22 21h45.31.137995 +0530
T-shirt,6,6,0,1,0.677508,,,,,,,,,,,,0,6,6,7,,,,,4.8135869,,4.8042134,4.8135869,4.8135869,5.4883764,1,0.677508,,,,,,,,,,,,,,,7439,1,2025-10-22_21h45.26.549,Word Priming,2024.2.4,144.755927,2025-10-22 21h45.31.137995 +0530
Case,7,7,0,1,0.4848539,,,,,,,,,,,,0,7,7,10,,,,,5.5016762,,5.4897608,5.5016762,5.5016762,5.9814099,1,0.4848539,,,,,,,,,,,,,,,7439,1,2025-10-22_21h45.26.549,Word Priming,2024.2.4,144.755927,2025-10-22 21h45.31.137995 +0530
Laptop,8,8,0,1,0.4976531,,,,,,,,,,,,0,8,8,5,,,,,5.9940735,,5.9842296,5.9940735,5.9940735,6.488625,1,0.4976531,,,,,,,,,,,,,,,7439,1,2025-10-22_21h45.26.549,Word Priming,2024.2.4,144.755927,2025-10-22 21h45.31.137995 +0530
Police,9,9,0,1,0.4845644,,,,,,,,,,,,0,9,9,12,,,,,6.5014487,,6.4900652,6.5014487,6.5014487,6.9815507,1,0.4845644,,,,,,,,,,,,,,,7439,1,2025-10-22_21h45.26.549,Word Priming,2024.2.4,144.755927,2025-10-22 21h45.31.137995 +0530
